Title,ID,Country,Focal Areas,Type,Agencies,GEF Grant,Cofinancing,Status,Year (aproved year),Funding Source (indexed field),Non-Grant Instrument (indexed field),Capacity-building Initiative for Transparency,GEF Period,Total Fund
Support to GEF Eligible Parties (LDCs & SIDs) for the Revision of the NBSAPs and Development of Fifth National Report to the CBD  - Phase II,4623,Afghanistan,Biodiversity,Full-size Project,United Nations Environment Programme,6118200,5513637,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,11631837
Umbrella Programme for National Communication to the UNFCCC,4498,Afghanistan,Climate Change,Full-size Project,United Nations Environment Programme,11330000,2013500,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,13343500
4th Operational Phase of the GEF Small Grants Programme (RAF2),3871,Afghanistan,"Biodiversity, Climate Change",Full-size Project,United Nations Development Programme,45211963,44500000,Completed,2009,GEF Trust Fund,No,No,GEF - 4,89711963
Piloting Integrated Processes and Approaches to Facilitate National Reporting to Rio Conventions,3707,Afghanistan,,Medium-size Project,United Nations Environment Programme,840000,800880,Project Approved,2009,GEF Trust Fund,No,No,GEF - 4,1640880
"Development of National Biodiversity Strategy and Action Plan (NBSAP), Assessment of Capacity Building Needs for In-situ and Ex-situ Biodiversity Conservation",3174,Afghanistan,Biodiversity,Enabling Activity,United Nations Environment Programme,394000,70000,Project Approved,2010,GEF Trust Fund,No,No,GEF - 4,464000
National Capacity Needs Self-Assessment for Global Environment Management,2532,Afghanistan,,Enabling Activity,United Nations Environment Programme,200000,0,Completed,2004,GEF Trust Fund,No,No,GEF - 3,200000
Enabling Activities for the Preparation of National Adaptation Programmes of Action (NAPAs),2530,Afghanistan,Climate Change,Enabling Activity,United Nations Environment Programme,200000,0,Completed,2004,Least Developed Countries Fund,No,No,GEF - 3,200000
Natural Resources and Poverty Alleviation Project,1907,Afghanistan,Biodiversity,Medium-size Project,Asian Development Bank,975000,750000,Completed,2003,GEF Trust Fund,No,No,GEF - 3,1725000
Green Mobility Financing Facility for Africa,11671,Africa,Climate Change,Full-size Project,African Development Bank,13461468,547450000,Concept Approved,1970,GEF Trust Fund,Yes,No,GEF - 8,560911468
Monitoring of POPs and mercury under the Stockholm and Minamata Conventions in the Africa Region,11536,Africa,Chemicals and Waste,Medium-size Project,United Nations Environment Programme,5000000,12185000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,17185000
Global Chemicals Monitoring Programme to support implementation of Stockholm and Minamata Conventions (GCMP),11534,Africa,Chemicals and Waste,PFD,United Nations Environment Programme,0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Program for improving sustainable marine fisheries opportunities in SADC – The Case of the Mozambique Channel.,11452,Africa,International Waters,Full-size Project,African Development Bank,5250000,14200000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,19450000
Fortifying Infrastructure for Responsible Extinguishments (FIRE),11110,Africa,Chemicals and Waste,Full-size Project,United Nations Environment Programme,10000000,72487011,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,82487011
African Climate Risk Insurance Facility-Derisking Adaptation to Climate Change in Africa,11008,Africa,Climate Change,Full-size Project,African Development Bank,8940768,21351965,Project Approved,2023,Least Developed Countries Fund,No,No,GEF - 7,30292733
Support to Preparation of the Fourth National Biosafety Reports to the Cartagena Protocol on Biosafety - AFRICA REGION,10638,Africa,Biodiversity,Enabling Activity,United Nations Environment Programme,1287000,1246750,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,2533750
Transformational Change in Sustainable Forest Management in Transboundary Landscapes of the Congo Basin,10269,Africa,,Full-size Project,United Nations Environment Programme,8192366,49935044,Project Approved,2021,GEF Trust Fund,No,No,GEF - 7,58127410
AFLDC-2 Scaling-up Investment and Technology Transfer to Facilitate Capacity Strengthening and Technical Assistance for the Implementation of Stockholm and Minamata Conventions in African LDCs,10218,Africa,Chemicals and Waste,Full-size Project,African Development Bank,21300000,237143479,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,258443479
KNOWLEDGE EXCHANGE AND INSTITUTIONAL PARTNERSHIPS TO REDUCE ENVIRONMENTAL HEALTH RISKS FROM EXPOSURE TO HARMFUL CHEMICALS AND WASTE,9855,Africa,Chemicals and Waste,Full-size Project,The World Bank,4311926,10850000,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,15161926
Regional Partnership for African Fisheries Policy Reform (RAFIP),9160,Africa,International Waters,Medium-size Project,The World Bank,2000000,12000000,Completed,2015,GEF Trust Fund,No,No,GEF - 6,14000000
Investing in Renewable Energy Project Preparation under the Fund for Energy Inclusion (FEI),9043,Africa,Climate Change,Full-size Project,African Development Bank,10000000,610000000,Project Approved,2018,GEF Trust Fund,Yes,No,GEF - 6,620000000
REDUCING ENVIRONMENTAL HEALTH IMPACTS OF HARMFUL POLLUTANTS IN AFRICA REGION,5583,Africa,"Chemicals and Waste, Chemicals and Waste",Medium-size Project,The World Bank,2000000,2000000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,4000000
AfDB-PPP Public-Private Partnership Program,4929,Africa,Climate Change,PFD,African Development Bank,20000000,240000000,Completed,1970,GEF Trust Fund,Yes,No,GEF - 5,260000000
Pilot African Climate Technology Finance Center and Network,4904,Africa,Climate Change,Full-size Project,African Development Bank,14340000,89000000,Project Approved,2014,Multi Trust Fund,No,No,GEF - 5,103340000
SPWA-BD: Scaling up the impacts of goods practices in linking poverty alleviation and biodiversity conservation,4169,Africa,Biodiversity,Medium-size Project,The World Bank,900000,1140000,Completed,2010,GEF Trust Fund,No,No,GEF - 4,2040000
"Strategic Partnership for a Sustainable Fisheries Investment Fund in the Large Marine Ecosystems of Sub-Saharan Africa (Tranche 1, Installment 2)",3559,Africa,International Waters,Full-size Project,The World Bank,5600000,0,Project Approved,2008,GEF Trust Fund,No,No,GEF - 4,5600000
SIP: Institutional Support to New Partnership for Africa’s Development (NEPAD) and Regional Economic Communities (RECs) for Sustainable Land Management (SLM) Scale-up in Sub-Saharan Africa (SSA),3395,Africa,Land Degradation,Full-size Project,United Nations Environment Programme,3735809,6014550,Project Approved,2010,GEF Trust Fund,No,No,GEF - 4,9750359
