Title,ID,Country,Focal Areas,Type,Agencies,GEF Grant,Cofinancing,Status,Year (aproved year),Funding Source (indexed field),Non-Grant Instrument (indexed field),Capacity-building Initiative for Transparency,GEF Period,Total Fund
Inclusive GEF Assembly Challenge Programme in Developing Countries,11499,Belize,Climate Change,Medium-size Project,United Nations Industrial Development Organization,1655500,1550193,Project Approved,2024,Special Climate Change Fund,No,No,GEF - 8,3205693
CSIDS SOILCARE Phase 2 - Caribbean Small Islands Developing States (SIDS) multi-country soil management initiative for integrated Landscape Restoration and climate-resilient food systems,11390,Belize,Land Degradation,Full-size Project,Food and Agriculture Organization,17968099,26500000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,44468099
Preparation of Belize’s First Biennial Transparency Report and a combined Second Biennial Transparency Report and Fifth National Communication (BTR1 and BTR2/NC5) to the United Nations Framework Convention on Climate Change (UNFCCC),11318,Belize,Climate Change,Enabling Activity,United Nations Environment Programme,1233000,0,Project Approved,2023,GEF Trust Fund,No,No,GEF - 8,1233000
Belize Blue Cities and Beyond Program,11288,Belize,"Biodiversity, Climate Change, Land Degradation",Full-size Project,The World Bank,3764372,27500000,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,31264372
Sustainable Cities Integrated Program,11287,Belize,,PFD,"The World Bank, United Nations Industrial Development Organization, Food and Agriculture Organization, United Nations Development Programme, West African Development Bank, United Nations Environment Programme, International Union for Conservation of Nature, Development Bank of Southern Africa, Inter-American Development Bank",0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Umbrella Programme to Support NBSAP Update and the 7th National Reports,11286,Belize,Biodiversity,Enabling Activity,United Nations Development Programme,35600000,0,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,35600000
Eighth Operational Phase of the GEF Small Grants Programme (Part 1),11285,Belize,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,126186603,35000000,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,161186603
"Resilient, Bold Belize",11257,Belize,"Biodiversity, Climate Change, Land Degradation",Full-size Project,World Wildlife Fund - US Chapter,4742964,40790000,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,45532964
Blue and Green Island Integrated Programme,11250,Belize,,PFD,"United Nations Development Programme, United Nations Environment Programme, World Wildlife Fund - US Chapter, International Union for Conservation of Nature, The World Bank, Food and Agriculture Organization",0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Global Biodiversity Framework Early Action Support (LAC 1),11023,Belize,Biodiversity,Enabling Activity,United Nations Development Programme,1917811,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1917811
Strengthening national-level institutional and professional capacities of country Parties towards enhanced UNCCD monitoring and reporting – GEF 7 EA Umbrella II,10960,Belize,Land Degradation,Enabling Activity,United Nations Environment Programme,1954338,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1954338
Mainstreaming Biodiversity in Belize’s Maya Golden Landscape,10815,Belize,Biodiversity,Medium-size Project,Food and Agriculture Organization,1449708,2803588,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,4253296
"Protecting and Restoring the Ocean’s natural Capital, building Resilience and supporting region-wide Investments for sustainable Blue socio-Economic development (PROCARIBE+)",10800,Belize,International Waters,Full-size Project,United Nations Development Programme,15429817,126016646,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,141446463
GEF SGP 7th Operational Phase - Strategic Implementation using STAR Resources mainly in LDCs and SIDs (Part 3),10655,Belize,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,43937623,45957000,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,89894623
ISLANDS - Caribbean Child Project,10279,Belize,Chemicals and Waste,Full-size Project,"United Nations Environment Programme, Food and Agriculture Organization",11000000,47041860,Project Approved,2021,GEF Trust Fund,No,No,GEF - 7,58041860
ISLANDS-Caribbean Incubator Facility,10258,Belize,Chemicals and Waste,Full-size Project,Inter-American Development Bank,10000000,75000000,Project Approved,2021,GEF Trust Fund,No,No,GEF - 7,85000000
Enhancing jaguar corridors and strongholds through improved management and threat reduction,10241,Belize,Biodiversity,Medium-size Project,United Nations Development Programme,1234404,10084000,Project Approved,2021,GEF Trust Fund,No,No,GEF - 7,11318404
“BE-CLME+”: Promoting National Blue Economy Priorities Through Marine Spatial Planning in the Caribbean Large Marine Ecosystem Plus,10211,Belize,"Biodiversity, International Waters",Full-size Project,"Development Bank of Latin America, Food and Agriculture Organization",6222018,41657883,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,47879901
Global Wildlife Program,10200,Belize,"Biodiversity, Climate Change",PFD,"The World Bank, World Wildlife Fund - US Chapter, United Nations Environment Programme, United Nations Development Programme, International Union for Conservation of Nature",95688016,591501798,Concept Approved,1970,Multi Trust Fund,No,No,GEF - 7,687189814
CSIDS-SOILCARE Phase1: Caribbean Small Island Developing States (SIDS) multicountry soil management initiative for Integrated Landscape Restoration and climate-resilient food systems,10195,Belize,"Climate Change, Land Degradation",Full-size Project,Food and Agriculture Organization,8155205,25797816,Project Approved,2021,Multi Trust Fund,No,No,GEF - 7,33953021
Implementing Sustainable Low and Non-Chemical Development in SIDS (ISLANDS),10185,Belize,Chemicals and Waste,PFD,"United Nations Environment Programme, United Nations Development Programme, Food and Agriculture Organization, Inter-American Development Bank",75000000,440214560,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 7,515214560
"GEF Support to UNCCD 2018 National Reporting 
Process - Umbrella III",10003,Belize,Land Degradation,Enabling Activity,United Nations Environment Programme,1981735,372000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,2353735
Development of Minamata Initial Assessments (MIA) in the Caribbean (Belize),9991,Belize,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,150000,0,Completed,2018,GEF Trust Fund,No,No,GEF - 6,150000
Support to Eligible Parties to Produce the Sixth National Report to the CBD (LAC),9821,Belize,Biodiversity,Medium-size Project,United Nations Development Programme,1963500,1380000,Completed,2017,GEF Trust Fund,No,No,GEF - 6,3343500
Integrated Management of Production Landscapes to Deliver Multiple Global Environmental Benefits,9796,Belize,"Biodiversity, Land Degradation",Full-size Project,United Nations Development Programme,5108933,19719574,Project Approved,2022,GEF Trust Fund,No,No,GEF - 6,24828507
Developing Organizational Capacity for Ecosystem Stewardship and Livelihoods in Caribbean Small-Scale Fisheries (StewardFish),9720,Belize,International Waters,Medium-size Project,Food and Agriculture Organization,1776484,7113000,Completed,2017,GEF Trust Fund,No,No,GEF - 6,8889484
Fourth National Communication and First Biennial Update Report to the UNFCCC,9677,Belize,Climate Change,Enabling Activity,United Nations Development Programme,852000,215500,Completed,2016,GEF Trust Fund,No,No,GEF - 6,1067500
CReW+: An Integrated Approach to Water and Wastewater Management Using Innovative Solutions and Promoting Financing Mechanisms in the Wider Caribbean Region,9601,Belize,"International Waters, Land Degradation",Full-size Project,"Inter-American Development Bank, United Nations Environment Programme, Inter-American Development Bank",14943938,150033203,Project Approved,2019,GEF Trust Fund,No,No,GEF - 6,164977141
Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - GRULAC and CEE REGIONS,9119,Belize,Biodiversity,Medium-size Project,United Nations Environment Programme,1152950,1025000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,2177950
Knowledge for Action: Promoting Innovation Among Environmental Funds,5880,Belize,Biodiversity,Medium-size Project,United Nations Environment Programme,913240,3854050,Completed,2015,GEF Trust Fund,No,No,GEF - 5,4767290
Integrated Transboundary Ridges-to-Reef Management of the Mesoamerican Reef,5765,Belize,International Waters,Full-size Project,World Wildlife Fund - US Chapter,9018349,51277908,Project Approved,2017,GEF Trust Fund,No,No,GEF - 5,60296257
Energy Resilience for Climate Adaptation,5687,Belize,Climate Change,Full-size Project,The World Bank,8000000,3975000,Project Approved,2016,Special Climate Change Fund,No,No,GEF - 5,11975000
Development and Implementation of a Sustainable Management Mechanism for POPs  in the Caribbean,5558,Belize,"Chemicals and Waste, Chemicals and Waste",Full-size Project,United Nations Industrial Development Organization,8839000,21124103,Project Approved,2015,GEF Trust Fund,No,No,GEF - 5,29963103
Catalyzing Implementation of the Strategic Action Programme for the Sustainable Management of Shared Living Marine Resources in the Caribbean and North Brazil Shelf Large Marine Ecosystems (CMLE+),5542,Belize,International Waters,Full-size Project,United Nations Development Programme,12500000,134153695,Completed,2015,GEF Trust Fund,No,No,GEF - 5,146653695
Support to 20 GEF Eligible Parties for Alignment of  National Action Programs and Reporting  Process under UNCCD (Add-on Umbrella 2),5136,Belize,Land Degradation,Medium-size Project,United Nations Environment Programme,1000000,1000000,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,2000000
Belize Chemicals and Waste Management Programme,5094,Belize,"Chemicals and Waste, Chemicals and Waste",Medium-size Project,United Nations Development Programme,990000,6366151,Completed,2014,GEF Trust Fund,No,No,GEF - 5,7356151
Capacity Building for the Strategic Planning and Management of Natural Resources in Belize,5048,Belize,,Medium-size Project,United Nations Development Programme,759000,643000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,1402000
National Biodiversity Planning to Support the implementation of the CBD 2011-2020 Strategic Plan,5027,Belize,Biodiversity,Enabling Activity,United Nations Development Programme,220000,102000,Completed,2012,GEF Trust Fund,No,No,GEF - 5,322000
Management and Protection of Key Biodiversity Areas,4605,Belize,"Biodiversity, Climate Change",Full-size Project,The World Bank,6085600,16000000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,22085600
Energy for Sustainable Development in Caribbean Buildings,4171,Belize,Climate Change,Full-size Project,United Nations Environment Programme,4859000,7625500,Completed,2012,GEF Trust Fund,No,No,GEF - 4,12484500
"Strenghtening National Capacities for the Consolidation, Operationalization and Sustainability of Belize's Protected Areas System",3861,Belize,Biodiversity,Medium-size Project,United Nations Development Programme,975000,1079971,Completed,2010,GEF Trust Fund,No,No,GEF - 4,2054971
LDC/SIDS Portfolio Project: Mainstreaming and Capacity Building for Sustainable Land Management in Belize,3475,Belize,Land Degradation,Medium-size Project,United Nations Development Programme,0,0,Project Approved,2004,GEF Trust Fund,No,No,GEF - 3,0
Strengthening Institutional Capacities for Coordinating Multi-Sectoral Environmental Policies and Programmes,3062,Belize,,Medium-size Project,United Nations Development Programme,472500,152400,Completed,2008,GEF Trust Fund,No,No,GEF - 4,624900
BS Regional Project for Implementing National Biosafety Frameworks in the Caribbean Sub-region - under the GEF Biosafety Program,2967,Belize,Biodiversity,Full-size Project,United Nations Environment Programme,5972493,6897582,Completed,2011,GEF Trust Fund,No,No,GEF - 4,12870075
Mainstreaming Biodiversity Conservation into Tourism through the Development and Dissemination of Best Practices,2861,Belize,Biodiversity,Medium-size Project,United Nations Environment Programme,972272,1310702,Completed,2005,GEF Trust Fund,No,No,GEF - 3,2282974
National Capacity Self-Assessment (NCSA),2420,Belize,,Enabling Activity,United Nations Development Programme,198000,0,Completed,2003,GEF Trust Fund,No,No,GEF - 3,198000
Initial assistance to enable Belize to fulfill its obligations under the Stockholm Convention on POPs,2326,Belize,Chemicals and Waste,Enabling Activity,United Nations Development Programme,354200,0,Completed,2005,GEF Trust Fund,No,No,GEF - 3,354200
Integrating Protected Area and Landscape Management in the Golden Stream Watershed,2068,Belize,Biodiversity,Medium-size Project,United Nations Development Programme,975000,1120518,Completed,2005,GEF Trust Fund,No,No,GEF - 3,2095518
Renewable Energy Enterprise Development - Seed Capital Access Facility,1609,Belize,Climate Change,Full-size Project,"United Nations Environment Programme, Asian Development Bank",8400000,54620000,Completed,2007,GEF Trust Fund,Yes,No,GEF - 3,63020000
Regional Program of Action and Demonstration of Sustainable Alternatives to DDT for Malaria Vector Control in Mexico and Central America,1591,Belize,International Waters,Full-size Project,United Nations Environment Programme,7165000,6719000,Completed,2003,GEF Trust Fund,No,No,GEF - 2,13884000
EcoEnterprises Fund,1571,Belize,Biodiversity,Medium-size Project,"The World Bank, International Finance Corporation",1000000,9000000,Completed,2002,GEF Trust Fund,Yes,No,GEF - 2,10000000
Assessment of Capacity Building Needs and Country Specific Priorities in Biodiversity (add on),1406,Belize,Biodiversity,Enabling Activity,United Nations Development Programme,177000,50000,Project Approved,2002,GEF Trust Fund,No,No,GEF - 2,227000
Building Wider Public and Private Constituences for the GEF in Latin America and the Caribbean: Regional Promotion of Global Environment Protection through the Electronic Media,1310,Belize,,Medium-size Project,United Nations Development Programme,998062,959132,Completed,2001,GEF Trust Fund,No,No,GEF - 2,1957194
Integrated Ecosystem Management in Indigenous Communities,1092,Belize,Biodiversity,Full-size Project,"The World Bank, Inter-American Development Bank",9000000,39885000,Completed,2004,GEF Trust Fund,No,No,GEF - 3,48885000
Caribbean: Mainstreaming Adaptation to Climate Change,1084,Belize,Climate Change,Full-size Project,The World Bank,5000000,4300000,Completed,2003,GEF Trust Fund,No,No,GEF - 2,9300000
Sustainable Management of the Shared Marine Resources of the Caribbean Large Marine Ecosystem (CLME) and Adjacent Regions,1032,Belize,International Waters,Full-size Project,United Nations Development Programme,7008116,47591111,Completed,2008,GEF Trust Fund,No,No,GEF - 4,54599227
Environmental Protection and Maritime Transport Pollution Control in the Gulf of Honduras,963,Belize,International Waters,Full-size Project,Inter-American Development Bank,4800000,6500000,Completed,2005,GEF Trust Fund,No,No,GEF - 3,11300000
Community-managed Sarstoon Temash Conservation Project,863,Belize,Biodiversity,Medium-size Project,The World Bank,806680,261500,Completed,2000,GEF Trust Fund,No,No,GEF - 2,1068180
Caribbean Renewable Energy Development Programme,840,Belize,Climate Change,Full-size Project,United Nations Development Programme,3726000,17911050,Completed,2004,GEF Trust Fund,No,No,GEF - 2,21637050
Conservation and Sustainable Use of the Mesoamerican Barrier Reef,837,Belize,Biodiversity,Full-size Project,The World Bank,11000000,13200000,Completed,2001,GEF Trust Fund,No,No,GEF - 2,24200000
Clearing House Mechanism Enabling Activity,603,Belize,Biodiversity,Enabling Activity,United Nations Development Programme,7000,0,Project Approved,1998,GEF Trust Fund,No,No,GEF - 2,7000
Conservation And Sustainable Use of the Barrier Reef Complex,592,Belize,Biodiversity,Full-size Project,United Nations Development Programme,5355000,2085000,Completed,1999,GEF Trust Fund,No,No,GEF - 2,7440000
Creating A Co-Managed Protected Areas System,499,Belize,Biodiversity,Medium-size Project,United Nations Development Programme,750000,230000,Completed,1998,GEF Trust Fund,No,No,GEF - 2,980000
Northern Belize Biological Corridors Project,496,Belize,Biodiversity,Medium-size Project,The World Bank,723500,3165000,Completed,1998,GEF Trust Fund,No,No,GEF - 2,3888500
Enabling Belize to Prepare its Initial National Communication in Response to its Commitments to UNFCCC,436,Belize,Climate Change,Enabling Activity,United Nations Development Programme,185100,0,Completed,1998,GEF Trust Fund,No,No,GEF - 1,185100
Sustainable Development and Management of Biologically Diverse Coastal Resources,358,Belize,Biodiversity,Full-size Project,United Nations Development Programme,3000000,900000,Completed,1991,GEF Trust Fund,No,No,Pilot Phase,3900000
Establishment of a Programme for the Consolidation of the Meso-American Biological Corridor,243,Belize,Biodiversity,Full-size Project,"United Nations Development Programme, United Nations Environment Programme",10600000,11717000,Completed,1999,GEF Trust Fund,No,No,GEF - 1,22317000
Formulation of the National Biodiversity Strategy and Action Plan for its Implementation,191,Belize,Biodiversity,Enabling Activity,United Nations Development Programme,184500,0,Completed,1997,GEF Trust Fund,No,No,GEF - 1,184500
A Participatory Approach to Managing the Environment: An Input to the Inter-American Strategy for Participation (ISP),178,Belize,,Medium-size Project,United Nations Environment Programme,695000,840000,Completed,1997,GEF Trust Fund,No,No,GEF - 1,1535000
Caribbean Planning for Adaptation to Global Climate Change (CARICOM),105,Belize,Climate Change,Enabling Activity,The World Bank,6500000,0,Completed,1997,GEF Trust Fund,No,No,GEF - 1,6500000
Building Capacity for Conducting Vulnerability and Adaptation Assessments in the Caribbean Region,41,Belize,Climate Change,Enabling Activity,United Nations Development Programme,117744,0,Completed,1999,GEF Trust Fund,No,No,GEF - 2,117744
Creation and Strengthening of the Capacity for Sustainable Renewable Energy Development in Central America,27,Belize,Climate Change,Medium-size Project,United Nations Development Programme,725000,796430,Completed,1999,GEF Trust Fund,No,No,GEF - 2,1521430
Eighth Operational Phase of the GEF Small Grants Programme (Tranche 2),11726,Benin,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,65420307,65420307,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,130840614
FARM+ Benin: Transitioning the cotton sector to sustainable and climate resilient practices,11684,Benin,"International Waters, Land Degradation, Chemicals and Waste",Full-size Project,United Nations Environment Programme,6387075,32500000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,38887075
Financing Agrochemical Reduction and Management Plus (FARM+) ,11682,Benin,,PFD,"United Nations Development Programme, United Nations Industrial Development Organization, United Nations Environment Programme, Food and Agriculture Organization, African Development Bank",0,0,Concept Approved,1970,Multi Trust Fund,No,No,GEF - 8,0
Promoting social and ecological resilience in land-water-food systems in blue economy sectors in Benin,11453,Benin,Climate Change,Full-size Project,African Development Bank,8932420,41116800,Concept Approved,1970,Least Developed Countries Fund,No,No,GEF - 8,50049220
The Greater Nokoue Greening Program (GNGP),11289,Benin,"Biodiversity, Climate Change, Land Degradation",Full-size Project,West African Development Bank,7139449,166000000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,173139449
Sustainable Cities Integrated Program,11287,Benin,,PFD,"The World Bank, United Nations Industrial Development Organization, Food and Agriculture Organization, United Nations Development Programme, West African Development Bank, United Nations Environment Programme, International Union for Conservation of Nature, Development Bank of Southern Africa, Inter-American Development Bank",0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Eighth Operational Phase of the GEF Small Grants Programme (Part 1),11285,Benin,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,126186603,35000000,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,161186603
Umbrella Programme to Support NBSAP Update and the 7th National Reports,11281,Benin,Biodiversity,Enabling Activity,United Nations Environment Programme,36435000,0,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,36435000
Sustainable food systems for greater resilience and food & nutrition security in Benin,11217,Benin,"Biodiversity, Land Degradation",Full-size Project,Food and Agriculture Organization,5966207,20000000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,25966207
Food Systems Integrated Program,11214,Benin,,PFD,"Food and Agriculture Organization, International Fund for Agricultural Development, International Union for Conservation of Nature, United Nations Development Programme, The World Bank",0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Umbrella Programme to Support Development of Biodiversity Finance Plans,11054,Benin,Biodiversity,Enabling Activity,United Nations Development Programme,38190000,0,Project Approved,2023,GEF Trust Fund,No,No,GEF - 8,38190000
Indicators and Framework for Climate Change Adaptation and Biodiversity conservation finance for Smallholders and Rural communities: leveraging private and public finance,11001,Benin,Climate Change,Medium-size Project,International Fund for Agricultural Development,401825,4054800,Project Approved,2023,Least Developed Countries Fund,No,No,GEF - 7,4456625
Groundwater for Deep Resilience in Africa (G4DR in Africa),10970,Benin,International Waters,Full-size Project,Food and Agriculture Organization,5786073,45483346,Project Approved,2023,GEF Trust Fund,No,No,GEF - 7,51269419
Global Biodiversity Framework Early Action Support (AFRICA 5),10952,Benin,Biodiversity,Enabling Activity,United Nations Environment Programme,1917811,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1917811
Strengthening national-level institutional and professional capacities of country Parties towards enhanced UNCCD monitoring and reporting – GEF 7 EA Umbrella 1,10900,Benin,Land Degradation,Enabling Activity,United Nations Environment Programme,1954338,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1954338
Benin National Child Project under the GEF Africa Minigrids Program,10831,Benin,Climate Change,Medium-size Project,United Nations Development Programme,1326147,33200000,Project Approved,2023,GEF Trust Fund,No,No,GEF - 7,34526147
Regional Initiative for Water and Environment in the transboundary basin of the Mono River (RIWE-Mono),10799,Benin,International Waters,Full-size Project,International Union for Conservation of Nature,5000000,23501903,Project Approved,2023,GEF Trust Fund,No,No,GEF - 7,28501903
Restoring and Enhancing the Value of Degraded Lands and Forest Ecosystems for Enhanced Climate Resilience in Benin (PIRVaTEFoD-Benin),10688,Benin,"Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,9032877,48272615,Project Approved,2022,Multi Trust Fund,No,No,GEF - 7,57305492
Support to Preparation of the Fourth National Biosafety Reports to the Cartagena Protocol on Biosafety - AFRICA REGION,10638,Benin,Biodiversity,Enabling Activity,United Nations Environment Programme,1287000,1246750,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,2533750
GEF-7 Africa Minigrids Program,10413,Benin,Climate Change,PFD,"United Nations Development Programme, African Development Bank",33213319,532672000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 7,565885319
Umbrella Programme for Preparation of National Communications (NCs) and Biennial Update Reports (BURs) to the UN Framework Convention on Climate Change (UNFCCC),10167,Benin,Climate Change,Enabling Activity,United Nations Environment Programme,10110480,1000000,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,11110480
Strengthening human and natural systems resilience to climate change through mangrove ecosystems conservation and sustainable use in southern Benin,10166,Benin,"Biodiversity, Climate Change",Full-size Project,Food and Agriculture Organization,7155936,62864797,Project Approved,2022,Multi Trust Fund,No,No,GEF - 7,70020733
"Strengthening capacity in the energy, agriculture, forestry and other land-use sectors for enhanced transparency in the implementation and monitoring of Benin’s Nationally Determined Contribution",10156,Benin,Climate Change,Medium-size Project,Food and Agriculture Organization,1319863,460000,Project Approved,2021,GEF Trust Fund,No,Yes,GEF - 7,1779863
GEF Support to UNCCD 2018 National Reporting Process  - Umbrella I,9981,Benin,Land Degradation,Enabling Activity,United Nations Environment Programme,1981737,336000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,2317737
"Strengthening of the Enabling Environment, Ecosystem-based Management and Governance to Support Implementation of the Strategic Action Programme of the Guinea Current Large Marine Ecosystem",9911,Benin,International Waters,Full-size Project,"United Nations Environment Programme, United Nations Industrial Development Organization, United Nations Development Programme, Food and Agriculture Organization, United Nations Industrial Development Organization, United Nations Development Programme, Food and Agriculture Organization",4416210,47234855,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 6,51651065
Reversing Ecosystem and Water Degradation in the Volta River Basin (REWarD-Volta River Basin),9910,Benin,International Waters,Full-size Project,"United Nations Environment Programme, International Union for Conservation of Nature",7122566,75165636,Project Approved,2022,GEF Trust Fund,No,No,GEF - 6,82288202
West Africa Coastal Areas Resilience Investment Project,9906,Benin,"Biodiversity, International Waters, Land Degradation",Full-size Project,The World Bank,20247607,185825000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,206072607
Support to Preparation of the Interim National Report on the Implementation of the Nagoya Protocol,9866,Benin,Biodiversity,Medium-size Project,United Nations Environment Programme,1430000,1111321,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,2541321
Support to Eligible Parties to Produce the Sixth National Report to the CBD (Africa-2),9824,Benin,Biodiversity,Medium-size Project,United Nations Environment Programme,1963500,453600,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,2417100
"Building Core Capacity for Implementation, Monitoring and Reporting of Multilateral Environmental Agreements (MEAs) and Relevant Sustainable Development Goals (SDGs) in Benin",9809,Benin,,Medium-size Project,United Nations Environment Programme,1150000,300000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,1450000
Sustainable Forest Management and Conservation Project in Central and South Benin,9383,Benin,"Biodiversity, Climate Change, Land Degradation",Full-size Project,African Development Bank,2627226,8847415,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,11474641
Impact Investment and Capacity Building in Support of Sustainable Waste Management to Reduce Emissions of Unintentional POPs (UPOPs) and Mercury in West Africa,9371,Benin,Chemicals and Waste,Full-size Project,West African Development Bank,15924771,130797229,Project Approved,2019,GEF Trust Fund,No,No,GEF - 6,146722000
Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - AFRICA REGION,9118,Benin,Biodiversity,Medium-size Project,United Nations Environment Programme,1368550,1225000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,2593550
Preparation of  intended nationally determined contribution (INDC) to the 2015 Agreement under the United Nations Framework Convention on Climate Change (UNFCCC),9105,Benin,Climate Change,Medium-size Project,United Nations Environment Programme,1800000,180000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,1980000
Minamata Convention Initial Assessment in Francophone Africa II,9098,Benin,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,800000,134400,Completed,2015,GEF Trust Fund,No,No,GEF - 6,934400
Improving Mobility in Parakou,6974,Benin,Climate Change,Medium-size Project,African Development Bank,1826484,107191700,Completed,2014,GEF Trust Fund,No,No,GEF - 6,109018184
Volta River Basin Strategic Action Programme Implementation Project,6964,Benin,International Waters,Full-size Project,The World Bank,7200000,36140000,Completed,2015,GEF Trust Fund,No,No,GEF - 6,43340000
Strengthening the Resilience of Rural Livelihoods and Sub-national Government System to Climate Risks and Variability in Benin,5904,Benin,Climate Change,Full-size Project,United Nations Development Programme,4450000,30000000,Completed,2017,Least Developed Countries Fund,No,No,GEF - 5,34450000
Preparation of  Benin's First Biennial Update Report (BUR1) to UNFCCC,5807,Benin,Climate Change,Enabling Activity,United Nations Environment Programme,352000,33000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,385000
Promotion of Sustainable Biomass-based Electricity Generation in Benin,5752,Benin,"Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,3872602,25750000,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,29622602
"Improving IWRM, Knowledge-based Management and Governance of the Niger Basin and the Iullemeden-Taoudeni/Tanezrouft Aquifer System (NB-ITTAS)",5535,Benin,International Waters,Full-size Project,"United Nations Development Programme, United Nations Environment Programme",13425000,1071450445,Project Approved,2018,GEF Trust Fund,No,No,GEF - 5,1084875445
Integrated Development for Increased Rural Climate Resilience in the Niger Basin,5487,Benin,"Climate Change, International Waters, Land Degradation",Full-size Project,African Development Bank,12014800,61000000,Project Approved,2017,GEF Trust Fund,No,No,GEF - 5,73014800
Strengthening the Resilience of the Energy Sector in Benin to the Impacts of Climate Change,5431,Benin,Climate Change,Full-size Project,United Nations Development Programme,8000000,31570000,Project Approved,2016,Least Developed Countries Fund,No,No,GEF - 5,39570000
Flood Control and Climate Resilience of Agriculture Infrastructures in Oueme Valley,5232,Benin,Climate Change,Full-size Project,African Development Bank,7200000,67639000,Project Approved,2014,Least Developed Countries Fund,No,No,GEF - 5,74839000
GGW: Forests and Adjacent Lands Management Project,5215,Benin,"Biodiversity, Land Degradation",Full-size Project,The World Bank,5555556,46450000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,52005556
Umbrella Programme for National Communication to the UNFCCC,5119,Benin,Climate Change,Full-size Project,United Nations Environment Programme,6180000,1098000,Project Approved,2013,GEF Trust Fund,No,No,GEF - 5,7278000
Strengthening Climate Information and Early Warning Systems in Western and Central Africa for Climate Resilient Development and Adaptation to Climate Change,5002,Benin,Climate Change,Full-size Project,United Nations Development Programme,4000000,14511549,Completed,2013,Least Developed Countries Fund,No,No,GEF - 5,18511549
Support to GEF Eligible Parties for Alignment of  National Action Programs and Reporting  Process under UNCCD,4829,Benin,Land Degradation,Full-size Project,United Nations Environment Programme,2830000,2750000,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,5580000
Disposal of POPs and Obsolete Pesticides and  Strengthening Life-cycle Management of Pesticides,4756,Benin,Chemicals and Waste,Full-size Project,Food and Agriculture Organization,1830000,10580625,Completed,2014,GEF Trust Fund,No,No,GEF - 5,12410625
Support to Preparation of the Second National Biosafety Reports to the Cartagena Protocol on Biosafety-Africa,4523,Benin,Biodiversity,Medium-size Project,United Nations Environment Programme,993950,840000,Project Approved,2011,GEF Trust Fund,No,No,GEF - 5,1833950
