AID Contribution 000 US$,Magnitude,Latitude,Longitude,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs 000 US$,"Reconstruction Costs, Adjusted 000 US$",Insured Damage 000 US$,"Insured Damage, Adjusted 000 US$",Total Damage 000 US$,"Total Damage, Adjusted 000 US$",CPI,duration,Start Year,Start Year GDP current US$,End Year,End Year GDP current US$
660.8,6.58,15.792999999999997,2.2576000000000023,40.0,20617.2,99140.0,199784.8,99140.0,42616.8,64402.8,83700.0,144025.0,49137.0,437981.0,9.706215691,1.0,1960.0,7515894111.0,1960.0,7515894111.0
660.8,6.58,15.792999999999997,2.2576000000000023,33.0,20617.2,99140.0,199784.8,99140.0,42616.8,64402.8,83700.0,144025.0,49137.0,437981.0,9.706215691,1.0,1960.0,7515894111.0,1960.0,7515894111.0
1587.8,131.06,-4.08,145.037,109.8,38.6,2000.0,5788.4,2000.0,59000.0,86308.2,36320.0,172733.8,7410.0,25795.2,9.706215691,1.0,1960.0,230496036.9,1960.0,230496036.9
1522.6,27607.98,30.163599999999995,-21.7844,33.4,38.0,18762.4,8276.4,10145.6,59000.0,86308.2,119500.0,171199.0,90179.4,196210.4,9.706215691,1.0,1960.0,1691900000.0,1960.0,1691900000.0
15805.2,9.5,-2.6474,117.0134,61.0,730.8,569349.0,11558.0,570079.8,2186589.6,2371549.0,89660.0,159832.8,575000.0,5924039.0,9.706215691,1.0,1960.0,542000000000.0,1960.0,542000000000.0
15805.2,25.82,-2.6474,117.0134,50.0,730.8,569349.0,11558.0,570079.8,2186589.6,2371549.0,93260.0,167327.6,387000.0,3987136.0,9.706215691,1.0,1960.0,542000000000.0,1960.0,542000000000.0
182.2,220.21999999999997,3.7232,11.833600000000004,11000.0,687.0,54940.0,34755.4,44968.2,59000.0,86308.2,110300.0,235808.8,11900.0,121303.0,9.810138546,1.0,1961.0,4817580375.0,1961.0,4817580375.0
182.2,220.21999999999997,3.7232,11.833600000000004,2274.0,687.0,52153.2,34755.4,44968.2,59000.0,86308.2,110300.0,235808.8,57880.0,192414.0,9.810138546,1.0,1961.0,4817580375.0,1961.0,4817580375.0
182.2,220.21999999999997,3.7232,11.833600000000004,266.0,687.0,54940.0,34755.4,44968.2,59000.0,86308.2,110300.0,235808.8,57880.0,192414.0,9.810138546,1.0,1961.0,4817580375.0,1961.0,4817580375.0
814.2,110.9,-13.0656,93.56519999999998,275.0,424.8,6244.6,9550.0,5464.0,59000.0,86308.2,38840.0,175866.4,60000.0,611612.0,9.810138546,336.0,1961.0,29964999.97,1961.0,29964999.97
628.8,16781.420000000002,20.526,81.2324,39.2,206.0,75350.0,16277.6,67456.0,2520012.6,2992040.6,42720.0,83082.4,266016.8,460250.2,9.810138546,32.0,1961.0,41038192838.0,1961.0,41038192838.0
1336.0,6.5,10.4,39.9,30.0,38.0,17401.2,9754.0,13510.6,59000.0,86308.2,139040.0,316359.4,82316.4,269369.8,9.810138546,1.0,1961.0,1680859514.0,1961.0,1680859514.0
2938.0,20821.86,21.775799999999997,4.143600000000001,21.0,360060.6,324053.4,1319.0,434731.6,2163200.0,2595410.8,107000.0,184134.2,466700.0,501733.4,9.810138546,1.0,1961.0,66806595975.0,1961.0,66806595975.0
297.8,10304.42,3.9947999999999992,8.36620000000001,43.0,158.8,91571.0,2640.0,13826.6,59000.0,86308.2,110300.0,235808.8,38210.0,78602.6,9.810138546,1.0,1961.0,4892397431.0,1961.0,4892397431.0
2247.2,524.1600000000001,-7.8212,103.3306,52.4,351.8,135.0,172834.2,135.0,59000.0,86308.2,119500.0,171199.0,925570.0,1606433.2,9.810138546,1.0,1961.0,1383681651.0,1961.0,1383681651.0
2247.2,524.1600000000001,-0.4688000000000002,56.09400000000001,7.0,351.8,406208.2,1171.0,1171.0,59000.0,86308.2,119500.0,171199.0,925570.0,1606433.2,9.810138546,1.0,1961.0,1383681651.0,1961.0,1383681651.0
263.4,154.26,0.6759999999999998,29.3538,275.0,183.6,111932.0,10403.0,12136.2,59000.0,86308.2,38840.0,175866.4,7691.8,71734.8,9.810138546,1.0,1961.0,356200000.0,1961.0,356200000.0
1241.4,42922.4,10.201726,-6.717200000000001,2000.0,178.6,108380.4,4276.0,106940.0,2520012.6,2992040.6,27460.0,54145.0,28200.0,56722.8,9.810138546,1.0,1961.0,39232435784.0,1961.0,39232435784.0
1241.4,39576.8,10.201726,-6.717200000000001,696.6,178.6,108380.4,2000.0,2000.0,2520012.6,2992040.6,37460.0,74140.6,28200.0,56722.8,9.810138546,1.0,1961.0,39232435784.0,1961.0,39232435784.0
1241.4,42922.4,10.201726,-6.717200000000001,57.0,178.6,122672.2,4276.0,106940.0,2520012.6,2992040.6,27460.0,54145.0,28800.0,57716.6,9.810138546,1.0,1961.0,39232435784.0,1961.0,39232435784.0
1241.4,42922.4,10.201726,-6.717200000000001,1000.0,178.6,108380.4,4276.0,106940.0,2520012.6,2992040.6,27460.0,54145.0,28800.0,57716.6,9.810138546,1.0,1961.0,39232435784.0,1961.0,39232435784.0
1241.4,42922.4,10.201726,-6.717200000000001,400.0,178.6,122672.2,4276.0,106940.0,2520012.6,2992040.6,27460.0,54145.0,28800.0,57716.6,9.810138546,1.0,1961.0,39232435784.0,1961.0,39232435784.0
634.2,6.4,27.861,54.528,60.0,15663.0,50330.4,238200.0,50330.4,59000.0,86308.2,110300.0,235808.8,40064.0,71938.6,9.810138546,1.0,1961.0,4426949095.0,1961.0,4426949095.0
